Type,Function Name,Elapsed Inclusive Time,Elapsed Exclusive Time,Application Inclusive Time,Application Exclusive Time,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Application Inclusive Time %,Application Exclusive Time %,Time Inclusive Probe Overhead,Time Exclusive Probe Overhead,Min Elapsed Inclusive Time,Avg Elapsed Inclusive Time,Max Elapsed Inclusive Time,Min Elapsed Exclusive Time,Avg Elapsed Exclusive Time,Max Elapsed Exclusive Time,Min Application Inclusive Time,Avg Application Inclusive Time,Max Application Inclusive Time,Min Application Exclusive Time,Avg Application Exclusive Time,Max Application Exclusive Time,Number of Calls,Source File,Function Line Number,Module Name,Module Path,Function Address,Root Function Name,Process Name,Process ID,
"Root","___set_app_type",594,594,594,594,0.02,0.02,0.02,0.02,0,0,594,594,594,594,594,594,0,594,594,0,594,594,1,"f:\dd\vctools\crt_bld\self_x86\crt\src\errmode.c",87,"MSVCR100.dll","C:\Windows\system32\MSVCR100.dll",0x744DB71B,"___set_app_type","perfPlay.exe",3836,
"Caller","pre_c_init",594,594,594,594,0.02,0.02,0.02,0.02,0,0,0,594,594,0,594,594,0,594,594,0,594,594,1,"f:\dd\vctools\crt_bld\self_x86\crt\src\crtexe.c",197,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Release\perfPlay.exe",0x000E1484,"___set_app_type","perfPlay.exe",3836,
"Root","___wgetmainargs",121713,121713,121713,121713,3.15,3.15,3.15,3.15,0,0,121713,121713,121713,121713,121713,121713,0,121713,121713,0,121713,121713,1,"f:\dd\vctools\crt_bld\self_x86\crt\src\crtlib.c",95,"MSVCR100.dll","C:\Windows\system32\MSVCR100.dll",0x744E23B5,"___wgetmainargs","perfPlay.exe",3836,
"Caller","pre_cpp_init",121713,121713,121713,121713,3.15,3.15,3.15,3.15,0,0,0,121713,121713,0,121713,121713,0,121713,121713,0,121713,121713,1,"f:\dd\vctools\crt_bld\self_x86\crt\src\crtexe.c",278,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Release\perfPlay.exe",0x000E10F6,"___wgetmainargs","perfPlay.exe",3836,
"Root","__CIsin",1385217,1385217,1385217,1385217,35.89,35.89,35.89,35.89,0,0,126,138,8019,126,138,8019,0,138,8019,0,138,8019,10000,"",0,"MSVCR100.dll","C:\Windows\system32\MSVCR100.dll",0x744C39E0,"__CIsin","perfPlay.exe",3836,
"Caller","THUNK:_CIsin",1385217,1385217,1385217,1385217,35.89,35.89,35.89,35.89,0,0,0,138,8019,0,138,8019,0,138,8019,0,138,8019,10000,"",0,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Release\perfPlay.exe",0x000E20C0,"__CIsin","perfPlay.exe",3836,
"Root","__controlfp_s",963,963,963,963,0.02,0.02,0.02,0.02,0,0,963,963,963,963,963,963,0,963,963,0,963,963,1,"",0,"MSVCR100.dll","C:\Windows\system32\MSVCR100.dll",0x744DC3B5,"__controlfp_s","perfPlay.exe",3836,
"Caller","THUNK:_controlfp_s",963,963,963,963,0.02,0.02,0.02,0.02,0,0,0,963,963,0,963,963,0,963,963,0,963,963,1,"",0,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Release\perfPlay.exe",0x000E2091,"__controlfp_s","perfPlay.exe",3836,
"Root","__initterm",126307,495,126307,495,3.27,0.01,3.27,0.01,1013,63,126307,126307,126307,495,495,495,0,126307,126307,0,495,495,1,"f:\dd\vctools\crt_bld\self_x86\crt\src\crt0dat.c",859,"MSVCR100.dll","C:\Windows\system32\MSVCR100.dll",0x744D2627,"__initterm","perfPlay.exe",3836,
"Caller","THUNK:_initterm",126307,495,126307,495,3.27,0.01,3.27,0.01,1013,63,0,126307,126307,0,495,495,0,126307,126307,0,495,495,1,"",0,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Release\perfPlay.exe",0x000E1D02,"__initterm","perfPlay.exe",3836,
"Callee","pre_cpp_init",125812,62,125812,62,3.26,0.00,3.26,0.00,950,253,0,125812,125812,0,62,62,0,125812,125812,0,62,62,1,"f:\dd\vctools\crt_bld\self_x86\crt\src\crtexe.c",278,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Release\perfPlay.exe",0x000E10F6,"__initterm","perfPlay.exe",3836,
"Root","__initterm_e",42539,438,42539,438,1.10,0.01,1.10,0.01,1156,126,42539,42539,42539,438,438,438,0,42539,42539,0,438,438,1,"f:\dd\vctools\crt_bld\self_x86\crt\src\crt0dat.c",908,"MSVCR100.dll","C:\Windows\system32\MSVCR100.dll",0x744D2645,"__initterm_e","perfPlay.exe",3836,
"Caller","THUNK:_initterm_e",42539,438,42539,438,1.10,0.01,1.10,0.01,1156,126,0,42539,42539,0,438,438,0,42539,42539,0,438,438,1,"",0,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Release\perfPlay.exe",0x000E1D25,"__initterm_e","perfPlay.exe",3836,
"Callee","___CxxSetUnhandledExceptionFilter",38372,35,38372,35,0.99,0.00,0.99,0.00,190,190,0,38372,38372,0,35,35,0,38372,38372,0,35,35,1,"f:\dd\vctools\crt_bld\self_x86\crt\prebuild\eh\unhandld.cpp",86,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Release\perfPlay.exe",0x000E1805,"__initterm_e","perfPlay.exe",3836,
"Callee","pre_c_init",3729,511,3729,511,0.10,0.01,0.10,0.01,840,506,0,3729,3729,0,511,511,0,3729,3729,0,511,511,1,"f:\dd\vctools\crt_bld\self_x86\crt\src\crtexe.c",197,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Release\perfPlay.exe",0x000E1484,"__initterm_e","perfPlay.exe",3836,
"Root","__matherr",21,21,21,21,0.00,0.00,0.00,0.00,21,63,21,21,21,21,21,21,0,21,21,0,21,21,1,"f:\dd\vctools\crt_bld\self_x86\crt\src\dllargv.c",56,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Release\perfPlay.exe",0x000E1E43,"__matherr","perfPlay.exe",3836,
