Type,Function Name,Elapsed Inclusive Time,Elapsed Exclusive Time,Application Inclusive Time,Application Exclusive Time,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Application Inclusive Time %,Application Exclusive Time %,Time Inclusive Probe Overhead,Time Exclusive Probe Overhead,Min Elapsed Inclusive Time,Avg Elapsed Inclusive Time,Max Elapsed Inclusive Time,Min Elapsed Exclusive Time,Avg Elapsed Exclusive Time,Max Elapsed Exclusive Time,Min Application Inclusive Time,Avg Application Inclusive Time,Max Application Inclusive Time,Min Application Exclusive Time,Avg Application Exclusive Time,Max Application Exclusive Time,Number of Calls,Source File,Function Line Number,Module Name,Module Path,Function Address,Root Function Name,Process Name,Process ID,
"Caller","DoStuffInLib(void)",382062,382062,382062,382062,0.00,0.00,0.00,0.00,0,0,0,382062,382062,0,382062,382062,0,382062,382062,0,382062,382062,1,"c:\users\doug\documents\visual studio 2010\projects\perfplay\perfplaylib\somefunc.cpp",18,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Release\perfPlay.exe",0x00A411AE,"_printf","perfPlay.exe",6228,
"Root","_wmain",28210612832,52463006,28210612832,52463006,34.98,0.07,34.98,0.07,43471042,631,28210612832,28210612832,28210612832,52463006,52463006,52463006,0,28210612832,28210612832,0,52463006,52463006,1,"c:\users\doug\documents\visual studio 2010\projects\perfplay\perfplay\perfplay.cpp",87,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Release\perfPlay.exe",0x00A410D2,"_wmain","perfPlay.exe",6228,
"Caller","__tmainCRTStartup",28210612832,52463006,28210612832,52463006,34.98,0.07,34.98,0.07,43471042,631,0,28210612832,28210612832,0,52463006,52463006,0,28210612832,28210612832,0,52463006,52463006,1,"f:\dd\vctools\crt_bld\self_x86\crt\src\crtexe.c",378,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Release\perfPlay.exe",0x00A4137A,"_wmain","perfPlay.exe",6228,
"Callee","CreateThread",307237,307237,307237,307237,0.00,0.00,0.00,0.00,0,0,0,153618,184266,0,153618,184266,0,153618,184266,0,153618,184266,2,"",0,"kernel32.dll","C:\Windows\syswow64\kernel32.dll",0x761D34A5,"_wmain","perfPlay.exe",6228,
"Callee","DoStuffInLib(void)",43470411,0,43470411,0,0.05,0.00,0.05,0.00,43470411,64627389,0,43470411,43470411,0,0,0,0,43470411,43470411,0,0,0,1,"c:\users\doug\documents\visual studio 2010\projects\perfplay\perfplaylib\somefunc.cpp",18,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Release\perfPlay.exe",0x00A411AE,"_wmain","perfPlay.exe",6228,
"Callee","RtlInitializeCriticalSection",5184,5184,5184,5184,0.00,0.00,0.00,0.00,0,0,0,5184,5184,0,5184,5184,0,5184,5184,0,5184,5184,1,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x77A02C6A,"_wmain","perfPlay.exe",6228,
"Callee","WaitForMultipleObjects",28114366994,28114366994,28114366994,28114366994,34.87,34.87,34.87,34.87,0,0,0,28114366994,28114366994,0,28114366994,28114366994,0,28114366994,28114366994,0,28114366994,28114366994,1,"",0,"kernel32.dll","C:\Windows\syswow64\kernel32.dll",0x761D41F0,"_wmain","perfPlay.exe",6228,
"Root","_wmainCRTStartup",28254281697,43474711,28254281697,43474711,35.04,0.05,35.04,0.05,882,189,28254281697,28254281697,28254281697,43474711,43474711,43474711,0,28254281697,28254281697,0,43474711,43474711,1,"f:\dd\vctools\crt_bld\self_x86\crt\src\crtexe.c",361,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Release\perfPlay.exe",0x00A417C0,"_wmainCRTStartup","perfPlay.exe",6228,
"Callee","___security_init_cookie",7854,6369,7854,6369,0.00,0.00,0.00,0.00,693,693,0,7854,7854,0,6369,6369,0,7854,7854,0,6369,6369,1,"f:\dd\vctools\crt_bld\self_x86\crt\src\gs_support.c",97,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Release\perfPlay.exe",0x00A42054,"_wmainCRTStartup","perfPlay.exe",6228,
"Callee","__tmainCRTStartup",28210799132,1079,28210799132,1079,34.98,0.00,34.98,0.00,43474327,1013,0,28210799132,28210799132,0,1079,1079,0,28210799132,28210799132,0,1079,1079,1,"f:\dd\vctools\crt_bld\self_x86\crt\src\crtexe.c",378,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Release\perfPlay.exe",0x00A4137A,"_wmainCRTStartup","perfPlay.exe",6228,
